trip_name,counts
Davis at Jackson - San Francisco Caltrain (Townsend at 4th),489
Embarcadero at Sansome - Embarcadero at Folsom,487
San Francisco Caltrain 2 (330 Townsend) - Embarcadero at Vallejo,486
San Francisco Caltrain 2 (330 Townsend) - Embarcadero at Bryant,485
Civic Center BART (7th at Market) - San Francisco Caltrain (Townsend at 4th),482
Market at 4th - San Francisco Caltrain (Townsend at 4th),480
Embarcadero at Bryant - Embarcadero at Vallejo,479
Harry Bridges Plaza (Ferry Building) - Temporary Transbay Terminal (Howard at Beale),478
San Francisco Caltrain (Townsend at 4th) - Powell at Post (Union Square),478
Embarcadero at Bryant - Commercial at Montgomery,477
Temporary Transbay Terminal (Howard at Beale) - San Francisco Caltrain 2 (330 Townsend),473
Civic Center BART (7th at Market) - Market at 10th,468
Castro Street and El Camino Real - Mountain View Caltrain Station,465
Beale at Market - Embarcadero at Vallejo,463
Spear at Folsom - 2nd at Folsom,463
Yerba Buena Center of the Arts (3rd @ Howard) - San Francisco Caltrain (Townsend at 4th),459
Temporary Transbay Terminal (Howard at Beale) - Golden Gate at Polk,458
2nd at Townsend - Howard at 2nd,455
Embarcadero at Sansome - Market at 4th,455
2nd at Townsend - Market at Sansome,454
Townsend at 7th - Market at 10th,454
Temporary Transbay Terminal (Howard at Beale) - Beale at Market,452
Steuart at Market - Spear at Folsom,451
Market at Sansome - Broadway St at Battery St,441
Embarcadero at Sansome - Embarcadero at Bryant,440
Mechanics Plaza (Market at Battery) - Embarcadero at Sansome,437
Embarcadero at Folsom - 2nd at Townsend,435
2nd at Townsend - Embarcadero at Bryant,428
Powell at Post (Union Square) - Mechanics Plaza (Market at Battery),427
Harry Bridges Plaza (Ferry Building) - 5th at Howard,427
Townsend at 7th - Howard at 2nd,426
University and Emerson - University and Emerson,420
Steuart at Market - Market at 4th,418
Spear at Folsom - 2nd at Townsend,414
South Van Ness at Market - Market at Sansome,413
Spear at Folsom - Townsend at 7th,408
Townsend at 7th - South Van Ness at Market,408
South Van Ness at Market - Townsend at 7th,408
Golden Gate at Polk - San Francisco Caltrain 2 (330 Townsend),400
Powell Street BART - Embarcadero at Sansome,399
San Francisco Caltrain 2 (330 Townsend) - Civic Center BART (7th at Market),397
5th at Howard - Howard at 2nd,396
Market at 10th - Market at Sansome,395
Market at Sansome - Howard at 2nd,395
Civic Center BART (7th at Market) - Market at Sansome,394
Market at 4th - Townsend at 7th,391
Embarcadero at Sansome - Temporary Transbay Terminal (Howard at Beale),391
Steuart at Market - Embarcadero at Folsom,388
Townsend at 7th - 5th at Howard,385
2nd at South Park - Embarcadero at Vallejo,385
Golden Gate at Polk - Townsend at 7th,384
Steuart at Market - San Francisco Caltrain 2 (330 Townsend),383
Embarcadero at Sansome - Mechanics Plaza (Market at Battery),382
South Van Ness at Market - Market at 4th,379
Temporary Transbay Terminal (Howard at Beale) - Grant Avenue at Columbus Avenue,378
Beale at Market - Davis at Jackson,376
Powell Street BART - Market at Sansome,375
2nd at Townsend - San Francisco Caltrain 2 (330 Townsend),373
San Francisco Caltrain 2 (330 Townsend) - Golden Gate at Polk,372
Temporary Transbay Terminal (Howard at Beale) - Davis at Jackson,372
San Jose Civic Center - San Jose Diridon Caltrain Station,371
Embarcadero at Vallejo - Embarcadero at Sansome,371
Powell at Post (Union Square) - Embarcadero at Sansome,371
Market at 4th - Mechanics Plaza (Market at Battery),366
Harry Bridges Plaza (Ferry Building) - Powell Street BART,366
Market at 4th - South Van Ness at Market,365
Mechanics Plaza (Market at Battery) - Commercial at Montgomery,365
Powell Street BART - Townsend at 7th,364
San Francisco Caltrain (Townsend at 4th) - 2nd at Townsend,364
Powell at Post (Union Square) - San Francisco Caltrain (Townsend at 4th),361
Embarcadero at Folsom - Townsend at 7th,360
Harry Bridges Plaza (Ferry Building) - Post at Kearny,360
Embarcadero at Vallejo - Harry Bridges Plaza (Ferry Building),358
2nd at South Park - San Francisco Caltrain 2 (330 Townsend),357
Powell Street BART - Mechanics Plaza (Market at Battery),357
Washington at Kearny - Powell Street BART,357
Embarcadero at Bryant - Temporary Transbay Terminal (Howard at Beale),357
2nd at Townsend - Davis at Jackson,356
Townsend at 7th - Yerba Buena Center of the Arts (3rd @ Howard),353
Mechanics Plaza (Market at Battery) - 2nd at Townsend,352
Harry Bridges Plaza (Ferry Building) - Yerba Buena Center of the Arts (3rd @ Howard),351
Davis at Jackson - Embarcadero at Sansome,350
Steuart at Market - Powell Street BART,347
Howard at 2nd - 2nd at Townsend,344
Howard at 2nd - San Francisco Caltrain (Townsend at 4th),342
